DUMMY/000001.wav|Wk Wa2 Wer2 Wp Wu3 TNR Wp Wei2 TVV Ww Wai4 Ws Wun1 TNN Ww Wan2 TVV Wh Wua2 Wt Wi1 TNN . TPU|Wk Wa2 Wer2 Wp Wu3 TNR Wp Wei2 TVV Ww Wai4 Ws Wun1 TNN Ww Wan2 TVV Wh Wua2 Wt Wi1 TNN . TPU
DUMMY/000002.wav|Wj Wia2 Wy Wu3 TNN Wc Wun1 Wy Wan2 TNN Wb Wie2 TAD Wz Wai4 TAD Wy Wong1 Wb Wao4 TVV Ww Wo3 TPN . TPU|Wj Wia2 Wy Wu3 TNN Wc Wun1 Wy Wan2 TNN Wb Wie2 TAD Wz Wai4 TAD Wy Wong1 Wb Wao4 TVV Ww Wo3 TPN . TPU
DUMMY/000003.wav|Wb Wao2 Wm Wa3 TNN Wp Wei4 TVV Wg Wua4 TVV Wb Wo3 TJJ Wl Wuo2 Wan1 TNN , TPU Wd Wiao1 Wch Wan2 TNN Wy Wuan4 TVV Wzh Wen3 TVV Wd Wong3 Ww Weng1 TNN Wt Wa4 TVV . TPU|Wb Wao2 Wm Wa3 TNN Wp Wei4 TVV Wg Wua4 TVV Wb Wo3 TJJ Wl Wuo2 Wan1 TNN , TPU Wd Wiao1 Wch Wan2 TNN Wy Wuan4 TVV Wzh Wen3 TVV Wd Wong3 Ww Weng1 TNN Wt Wa4 TVV . TPU
DUMMY/000004.wav|Wd Weng4 Wx Wiao3 Wp Wing2 TNR Wy Wu3 TCC Ws Wa4 Wq Wie4 Wer3 TNR Wh Wui4 Ww Wu4 TVV . TPU|Wd Weng4 Wx Wiao3 Wp Wing2 TNR Wy Wu3 TCC Ws Wa4 Wq Wie4 Wer3 TNR Wh Wui4 Ww Wu4 TVV . TPU
DUMMY/000005.wav|Wl Wao2 Wh Wu3 TNN Wy Wou4 Wz Wai3 TNN Wy Wu2 TCC Wch Wong3 Ww Wu4 Wq Wuan3 TNN Ww Wan2 Wsh Wua3 TVV . TPU|Wl Wao2 Wh Wu3 TNN Wy Wou4 Wz Wai3 TNN Wy Wu2 TCC Wch Wong3 Ww Wu4 Wq Wuan3 TNN Ww Wan2 Wsh Wua3 TVV . TPU
DUMMY/000006.wav|Wsh Wen1 Wch Wang2 TNN Wy Wve1 TAD Ww Wu2 TCD Wch Wi3 TM Wer4 TCD Wc Wun4 TM Ww Wu3 TCD Wf Wen1 TM Wh Wuo4 TCC Wy Wi3 Wsh Wang4 TLC . TPU|Wsh Wen1 Wch Wang2 TNN Wy Wve1 TAD Ww Wu2 TCD Wch Wi3 TM Wer4 TCD Wc Wun4 TM Ww Wu3 TCD Wf Wen1 TM Wh Wuo4 TCC Wy Wi3 Wsh Wang4 TLC . TPU
DUMMY/000007.wav|Wzh Wao4 Wd Wi2 TNR Wy Wve1 TVV Wc Wao2 Wy Wun2 Wt Weng2 TNR Wq Wu4 TVV Wg Wui3 Ww Wu1 TNN . TPU|Wzh Wao4 Wd Wi2 TNR Wy Wve1 TVV Wc Wao2 Wy Wun2 Wt Weng2 TNR Wq Wu4 TVV Wg Wui3 Ww Wu1 TNN . TPU
DUMMY/000008.wav|Wzh Wan2 Wp Win3 TNN Ws Wui1 TCS Wy Wou3 TVE , TPU Wzh Wan3 Wy Wuan2 TNN Wq Wve4 TAD Wt Wui2 TVA . TPU|Wzh Wan2 Wp Win3 TNN Ws Wui1 TCS Wy Wou3 TVE , TPU Wzh Wan3 Wy Wuan2 TNN Wq Wve4 TAD Wt Wui2 TVA . TPU
DUMMY/000009.wav|Wy Wi2 TP Ws Wan3 Wj Wu1 TVV Wer2 Wt Wong2 TNN Wh We2 TCC Wy Wou4 Wt Wuo1 TJJ Wer2 Wt Wong2 TNN Ww Wei2 Wzh Wu3 TVV . TPU|Wy Wi2 TP Ws Wan3 Wj Wu1 TVV Wer2 Wt Wong2 TNN Wh We2 TCC Wy Wou4 Wt Wuo1 TJJ Wer2 Wt Wong2 TNN Ww Wei2 Wzh Wu3 TVV . TPU
DUMMY/000010.wav|Wk We1 Wt We4 Wn Wi1 TNR Wsh Wen1 Wch Wuan1 TVV Wb Wao4 Ww Wen2 TNN Wd Wa4 Wy Wi1 TNN . TPU|Wk We1 Wt We4 Wn Wi1 TNR Wsh Wen1 Wch Wuan1 TVV Wb Wao4 Ww Wen2 TNN Wd Wa4 Wy Wi1 TNN . TPU
DUMMY/000011.wav|Wy Win3 TVV Wc Wai2 TAD Wy Wao4 TVV Wsh Wai1 TVV , TPU Wy Wong4 TVV Wc Wai2 TAD Wy We3 TAD Wy Wao4 TVV Wsh Wai1 TVV . TPU|Wy Win3 TVV Wc Wai2 TAD Wy Wao4 TVV Wsh Wai1 TVV , TPU Wy Wong4 TVV Wc Wai2 TAD Wy We3 TAD Wy Wao4 TVV Wsh Wai1 TVV . TPU
DUMMY/000012.wav|Wn Wan2 TNR Wy Wve4 TNR Wk Wun1 Wl Wun2 Wsh Wan1 TNR Wy Wu3 TP Wx Wi1 Wz Wang4 TNR Wj Wie1 Wr Wang3 TVV . TPU|Wn Wan2 TNR Wy Wve4 TNR Wk Wun1 Wl Wun2 Wsh Wan1 TNR Wy Wu3 TP Wx Wi1 Wz Wang4 TNR Wj Wie1 Wr Wang3 TVV . TPU
DUMMY/000013.wav|Ww Weng1 Wk Wai3 Wl Wan2 TNR Wf Wang2 TNN Wr Wu3 Wx Wian4 Wai2 TNN Wx Wuan1 Wch Wuan2 Wzh Wao4 TNN . TPU|Ww Weng1 Wk Wai3 Wl Wan2 TNR Wf Wang2 TNN Wr Wu3 Wx Wian4 Wai2 TNN Wx Wuan1 Wch Wuan2 Wzh Wao4 TNN . TPU
DUMMY/000014.wav|Ww Wo3 TPN Wh Wui2 TVV Wy Wou4 TNN Wh Weng1 Wh Weng5 TIJ Wz Wuo3 TNN Wh Weng1 Wh Weng5 TIJ . TPU|Ww Wo3 TPN Wh Wui2 TVV Wy Wou4 TNN Wh Weng1 Wh Weng5 TIJ Wz Wuo3 TNN Wh Weng1 Wh Weng5 TIJ . TPU
DUMMY/000015.wav|Ww Wu2 Wy Wun2 Wb Wao2 TNR Wn Wai3 Wn Wai5 TNN Wt Wiao1 Wx Wuan3 TVV Wp Wi2 Wp Wa2 TNN . TPU|Ww Wu2 Wy Wun2 Wb Wao2 TNR Wn Wai3 Wn Wai5 TNN Wt Wiao1 Wx Wuan3 TVV Wp Wi2 Wp Wa2 TNN . TPU
DUMMY/000016.wav|Wc Wi3 Ww Wai4 TAD Wg Wuang2 Wb Wen3 TNN Wy We3 TAD Wj Wiang1 TAD Wy Wou2 TP Wsh Wao4 Wzh Wuang4 Wp Wai4 TNR Wzh Wang2 Wg Wuan3 TVV . TPU|Wc Wi3 Ww Wai4 TAD Wg Wuang2 Wb Wen3 TNN Wy We3 TAD Wj Wiang1 TAD Wy Wou2 TP Wsh Wao4 Wzh Wuang4 Wp Wai4 TNR Wzh Wang2 Wg Wuan3 TVV . TPU
